timestamp,iteration,total_instruments,success_count,error_count,duration_seconds,updates_per_second
2025-07-06T15:39:50.053123,185,50000,50000,0,1.92,26013.36
2025-07-06T15:39:53.982489,186,50000,50000,0,1.81,27635.96
2025-07-06T15:39:57.995235,187,50000,50000,0,1.87,26791.65
2025-07-06T15:40:02.194961,188,50000,50000,0,2.01,24898.8
2025-07-06T15:40:07.009299,189,50000,50000,0,2.62,19060.2
2025-07-06T15:40:11.617914,190,50000,50000,0,2.43,20613.99
2025-07-06T15:40:16.045499,191,50000,50000,0,2.29,21823.91
2025-07-06T15:40:20.389086,192,50000,50000,0,2.17,23021.47
2025-07-06T15:40:24.837016,193,50000,50000,0,2.26,22088.88
2025-07-06T15:40:29.244929,194,50000,50000,0,2.23,22402.15
2025-07-06T15:40:33.714404,195,50000,50000,0,2.28,21919.11
2025-07-06T15:40:37.706812,196,50000,50000,0,1.81,27582.01
2025-07-06T15:40:41.883510,197,50000,50000,0,2.01,24842.23
2025-07-06T15:40:46.112256,198,50000,50000,0,2.03,24601.17
2025-07-06T15:40:50.247489,199,50000,50000,0,1.98,25194.25
